ticker,name,sector,industry,comment
STT,State Street Corporation,Financials,Asset Management & Custody Banks,
STX,Seagate Technology Holdings plc,Information Technology,Computer Hardware,
STZ,Constellation Brands Inc.,Consumer Staples,Beverages - Alcoholic,
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,
SWKS,Skyworks Solutions Inc.,Information Technology,Semiconductors,
SYF,Synchrony Financial,Financials,Credit Services,
SYK,Stryker Corporation,Health Care,Medical Devices,
SYY,Sysco Corporation,Consumer Staples,Food Distribution,
T,AT&T Inc.,Communication Services,Telecom Services,
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,
TDG,TransDigm Group Inc.,Industrials,Aerospace & Defense,
TDY,Teledyne Technologies Inc.,Information Technology,Scientific & Technical Instruments,
TEAM,Atlassian Corporation,Information Technology,Software - Application,
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,
TEL,TE Connectivity Ltd.,Information Technology,Electronic Components,
TER,Teradyne Inc.,Information Technology,Semiconductor Equipment,
TFC,Truist Financial Corporation,Financials,Banks - Regional,
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,
TJX,The TJX Companies Inc.,Consumer Discretionary,Apparel Retail,
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,
TM,Toyota Motor Corporation,Consumer Discretionary,Auto Manufacturers,
TMO,Thermo Fisher Scientific Inc.,Health Care,Diagnostics & Research,
TMUS,T-Mobile US Inc.,Communication Services,Telecom Services,
TOL,Toll Brothers Inc.,Consumer Discretionary,Residential Construction,
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,
TROW,T. Rowe Price Group Inc.,Financials,Asset Management,
TRV,The Travelers Companies Inc.,Financials,Insurance - Property & Casualty,
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,
TSLA,Tesla Inc.,Consumer Discretionary,Auto Manufacturers,
TSN,Tyson Foods Inc.,Consumer Staples,Packaged Foods,
TT,Trane Technologies,Industrials,Building Products,
TTD,Trade Desk (The),Communication Services,Advertising,
TTWO,Take-Two Interactive Software Inc.,Communication Services,Electronic Gaming & Multimedia,
TXN,Texas Instruments Inc.,Information Technology,Semiconductors,
TXT,Textron Inc.,Industrials,Aerospace & Defense,
TYL,Tyler Technologies Inc.,Information Technology,Software - Application,
UAL,United Airlines Holdings Inc.,Industrials,Airlines,
UBER,Uber,Industrials,Passenger Ground Transportation,
UDR,United Dominion Realty Trust Inc.,Real Estate,REIT - Residential,
UHS,Universal Health Services,Health Care,Health Care Facilities,
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,
UNH,UnitedHealth Group Inc.,Health Care,Healthcare Plans,
UNP,Union Pacific Corporation,Industrials,Railroads,
UPS,United Parcel Service Inc.,Industrials,Integrated Freight & Logistics,
URI,United Rentals,Industrials,Trading Companies & Distributors,
USB,U.S. Bancorp,Financials,Banks - Regional,
V,Visa Inc.,Financials,Transaction & Payment Processing,
VEEV,Veeva Systems Inc.,Information Technology,Health Information Services,
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,
VLTO,Veralto,Industrials,Environmental & Facilities Services,
VMC,Vulcan Materials Company,Materials,Building Materials,
VRSK,Verisk Analytics Inc.,Industrials,Consulting Services,
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,
VRTX,Vertex Pharmaceuticals Inc.,Health Care,Biotechnology,
VST,Vistra Corp.,Utilities,Electric Utilities,
VTR,Ventas Inc.,Real Estate,REIT - Healthcare Facilities,
VTRS,Viatris,Health Care,Pharmaceuticals,
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,
WAT,Waters Corporation,Health Care,Diagnostics & Research,
WBD,Warner Bros. Discovery Inc.,Communication Services,Entertainment,
WDAY,Workday Inc.,Information Technology,Software - Application,
WDC,Western Digital Corporation,Information Technology,Computer Hardware,
WEC,WEC Energy Group Inc.,Utilities,Utilities - Regulated Electric,
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,
WFC,Wells Fargo & Company,Financials,Banks - Diversified,
WM,Waste Management Inc.,Industrials,Waste Management,
WMB,Williams Companies Inc.,Energy,Oil & Gas Midstream,
WMT,Walmart Inc.,Consumer Staples,Discount Stores,
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,
WTW,Willis Towers Watson plc,Financials,Insurance Brokers,
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,
WYNN,Wynn Resorts Limited,Consumer Discretionary,Resorts & Casinos,
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,
XPO,XPO Inc.,Industrials,Integrated Freight & Logistics,
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,
YUM,Yum! Brands Inc.,Consumer Discretionary,Restaurants,
ZBH,Zimmer Biomet Holdings Inc.,Health Care,Medical Devices,
ZBRA,Zebra Technologies Corporation,Information Technology,Electronic Components,
ZS,Zscaler Inc.,Information Technology,Software - Infrastructure,
ZTS,Zoetis Inc.,Health Care,Drug Manufacturers - Specialty,
